origin,ground_truth,latency,hops
RIPE,EC,202.5275,12.0
RIPE,EC,153.79425,12.25
RIPE,EC,192.335,15.5
RIPE,EC,185.37675,1.25
RIPE,EC,187.34625,9.0
RIPE,ES,39.56875,20.75
RIPE,ES,52.4915,17.25
RIPE,ES,43.258,16.5
RIPE,ES,45.51425,16.25
RIPE,ES,48.0215,16.5
RIPE,ES,64.646,17.5
RIPE,ES,40.23975,18.5
RIPE,ES,48.20425,13.25
RIPE,ES,41.96975,17.25
RIPE,ES,40.56175,20.0
RIPE,ES,47.174,12.25
RIPE,ES,62.764,17.25
RIPE,ES,76.0395,16.0
RIPE,ES,122.9465,16.25
RIPE,ES,32.50475,18.0
RIPE,ES,52.84225,13.5
RIPE,ES,61.72675,18.0
RIPE,ES,48.768,20.0
RIPE,ES,50.104,17.25
RIPE,ES,45.454,17.5
RIPE,ES,61.27325,16.25
RIPE,ES,40.95525,20.25
RIPE,ES,40.7255,11.75
RIPE,ES,52.283,17.5
RIPE,EE,50.04775,14.25
RIPE,EE,59.91525,20.25
RIPE,EE,79.5865,13.0
RIPE,EE,54.183,8.75
RIPE,EE,109.38,21.0
RIPE,EE,82.05375,20.0
RIPE,EE,74.9845,8.25
RIPE,EE,53.658,13.75
RIPE,EE,59.36,13.0
RIPE,FI,61.9815,13.25
RIPE,FI,82.40325,14.75
RIPE,FI,63.72925,13.75
RIPE,FI,61.92825,14.0
RIPE,FI,54.02275,19.25
RIPE,FI,61.3615,14.0
RIPE,FI,60.50925,11.5
RIPE,FI,70.77125,15.25
RIPE,FI,61.3895,14.0
RIPE,FI,61.24175,12.25
RIPE,FI,51.8625,16.25
RIPE,FI,52.4575,13.25
RIPE,FI,51.57425,17.5
RIPE,FI,52.14075,17.0
RIPE,FI,64.97775,19.5
RIPE,FI,51.449,18.0
RIPE,FI,53.1745,13.25
RIPE,FI,58.74225,12.0
RIPE,FI,54.07275,17.0
RIPE,FI,68.378,14.25
RIPE,FI,89.59925,13.5
RIPE,FI,69.78825,14.0
RIPE,FI,92.1485,14.25
RIPE,FI,74.21675,19.5
RIPE,FI,58.12475,14.25
RIPE,FI,60.4705,14.25
RIPE,FI,72.09375,19.5
RIPE,FI,86.5845,15.25
RIPE,FI,52.18425,16.5
RIPE,FI,64.39675,11.25
RIPE,FR,26.481,14.25
RIPE,FR,30.1575,14.25
RIPE,FR,43.55275,17.5
RIPE,FR,33.41875,16.25
RIPE,FR,50.775,14.0
RIPE,FR,38.35025,19.25
RIPE,FR,26.87825,13.5
RIPE,FR,55.28775,14.0
RIPE,FR,20.05175,9.5
RIPE,FR,31.283,18.25
RIPE,FR,31.458,15.5
RIPE,FR,32.00825,20.25
RIPE,FR,39.128,15.25
RIPE,FR,53.65775,16.0
RIPE,FR,35.627,16.5
RIPE,FR,26.876,18.5
RIPE,FR,37.512,14.0
RIPE,FR,55.51375,15.25
RIPE,FR,28.95775,12.25
RIPE,FR,24.077,16.0
RIPE,FR,50.999,19.0
RIPE,FR,24.06175,21.0
RIPE,FR,25.4985,16.0
RIPE,FR,24.63375,17.25
RIPE,FR,23.292,14.75
RIPE,FR,23.384,15.75
RIPE,FR,31.46725,16.0
RIPE,FR,36.43525,14.5
RIPE,FR,31.87125,18.0
RIPE,FR,30.8875,14.25
RIPE,FR,32.43975,15.0
RIPE,FR,35.89425,15.5
RIPE,FR,37.09225,16.0
RIPE,FR,30.6825,16.5
RIPE,FR,25.87325,19.0
RIPE,FR,28.89725,20.75
RIPE,FR,29.5265,17.0
RIPE,FR,26.941,14.75
RIPE,FR,22.5365,19.0
RIPE,FR,23.018,16.0
RIPE,FR,22.2515,20.0
RIPE,FR,23.4915,18.75
RIPE,FR,23.54925,16.5
RIPE,FR,23.32825,11.0
RIPE,FR,25.95025,21.75
RIPE,FR,29.607,15.5
RIPE,FR,24.25225,21.0
RIPE,FR,43.466,17.0
RIPE,FR,40.70325,15.5
RIPE,FR,34.77025,16.75
RIPE,FR,34.842,15.25
RIPE,FR,27.77575,16.5
RIPE,FR,22.714,19.25
RIPE,FR,27.67375,20.75
RIPE,FR,24.362,10.25
RIPE,FR,31.169,18.5
RIPE,FR,32.0265,15.25
RIPE,FR,34.98975,16.75
RIPE,FR,34.747,12.0
RIPE,FR,23.58525,1.0
RIPE,FR,28.232,14.5
RIPE,FR,18.74875,10.0
RIPE,FR,33.47175,20.75
RIPE,FR,33.2455,18.0
RIPE,FR,29.8415,16.5
RIPE,FR,23.26425,18.25
RIPE,FR,32.9375,21.0
RIPE,FR,24.8195,16.25
RIPE,FR,39.794,17.0
RIPE,FR,35.39,19.25
RIPE,FR,22.992,19.5
RIPE,FR,22.856,15.25
